time	diversity	m_div	M_div
0.0	55.0	55	55
0.10022289436347377	65.0	65	65
0.20044578872694754	69.85	69	70
0.30066868309042133	71.0	71	71
0.4008915774538951	69.0	69	69
0.5011144718173689	68.95	68	70
0.6013373661808427	74.95	74	75
0.7015602605443164	82.0	82	82
0.8017831549077902	100.0	100	100
0.9020060492712639	98.05	98	99
1.0022289436347378	99.25	99	100
1.1024518379982116	99.1	99	100
1.2026747323616853	99.0	99	99
1.302897626725159	109.1	105	110
1.4031205210886328	114.0	114	114
1.5033434154521066	110.8	110	111
1.6035663098155803	96.0	96	96
1.703789204179054	96.3	96	97
1.8040120985425279	119.3	117	124
1.9042349929060016	157.9	157	159
2.0044578872694756	147.95	143	151
2.104680781632949	119.8	119	120
2.204903675996423	130.0	130	130
2.3051265703598967	129.0	129	129
2.4053494647233706	128.8	128	131
2.505572359086844	158.8	157	159
2.605795253450318	167.0	167	167
2.7060181478137917	174.0	174	174
2.8062410421772657	163.1	161	164
2.906463936540739	152.9	151	155
3.006686830904213	145.9	145	148
3.1069097252676867	147.1	145	148
3.2071326196311607	144.6	142	147
3.3073555139946347	139.65	139	141
3.407578408358108	146.15	144	157
3.507801302721582	198.95	197	210
3.6080241970850557	214.35	209	216
3.7082470914485297	213.3	207	215
3.8084699858120032	201.7	177	210
3.9086928801754772	151.05	126	178
4.008915774538951	122.25	121	123
4.109138668902425	123.35	118	125
4.209361563265898	119.0	111	123
4.309584457629372	112.2	106	119
4.409807351992846	109.0	106	115
4.51003024635632	109.4	108	111
4.610253140719793	110.75	108	111
4.710476035083267	110.8	110	111
4.810698929446741	111.95	109	122
4.910921823810215	122.55	112	144
5.011144718173688	140.8	135	144
5.111367612537163	147.05	141	154
5.211590506900636	164.65	148	184
5.31181340126411	175.0	161	193
5.412036295627583	163.55	154	195
5.512259189991058	155.15	152	176
5.612482084354531	135.55	119	158
5.712704978718005	102.8	84	144
5.812927873081478	97.35	96	102
5.913150767444953	101.75	101	104
6.013373661808426	100.4	98	106
6.1135965561719	101.4	96	103
6.213819450535373	100.05	95	106
6.314042344898848	97.85	95	99
6.414265239262321	99.5	97	102
6.514488133625795	99.5	99	100
6.614711027989269	98.8	96	101
6.714933922352743	98.4	96	105
6.815156816716216	101.25	98	107
6.91537971107969	105.45	98	138
7.015602605443164	143.55	135	181
7.115825499806638	189.85	179	202
7.2160483941701115	207.2	204	212
7.316271288533585	208.4	205	214
7.416494182897059	181.55	171	217
7.516717077260533	193.4	176	245
7.6169399716240065	205.15	201	219
7.71716286598748	202.95	202	203
7.8173857603509544	195.45	183	203
7.917608654714428	169.15	163	198
8.017831549077902	159.65	158	170
8.118054443441375	158.0	158	158
8.21827733780485	157.9	157	158
8.318500232168324	157.1	153	158
8.418723126531797	156.65	153	158
8.518946020895271	156.95	152	160
8.619168915258744	160.1	151	165
8.719391809622218	168.2	151	189
8.819614703985692	186.9	161	197
8.919837598349165	198.5	192	204
9.02006049271264	197.8	195	201
9.120283387076114	196.8	196	198
9.220506281439587	174.55	163	198
9.320729175803061	152.3	131	200
9.420952070166534	135.7	131	166
9.521174964530008	124.7	124	128
9.621397858893483	127.6	127	130
9.721620753256955	141.5	136	149
9.82184364762043	156.15	149	163
9.922066541983904	162.3	161	163
10.022289436347377	162.6	161	163
10.122512330710851	158.7	154	163
10.222735225074326	146.25	135	154
10.322958119437798	138.0	133	150
10.423181013801273	134.2	130	148
10.523403908164745	132.45	130	134
10.62362680252822	132.4	130	135
10.723849696891694	132.85	130	135
10.824072591255167	133.45	130	136
10.924295485618641	137.3	132	146
11.024518379982116	149.5	140	159
11.124741274345588	157.6	153	162
11.224964168709063	159.65	159	161
11.325187063072537	159.6	159	161
11.42540995743601	162.9	158	166
11.525632851799484	162.4	155	170
11.625855746162957	150.0	122	170
11.726078640526431	128.15	119	169
11.826301534889906	120.8	119	131
11.926524429253378	136.4	133	138
12.026747323616853	137.9	120	146
12.126970217980327	120.0	120	120
12.2271931123438	121.45	120	126
12.327416006707274	127.85	126	131
12.427638901070747	123.45	121	133
12.527861795434221	115.05	114	120
12.628084689797696	131.0	131	131
12.728307584161168	138.8	137	139
12.828530478524643	137.25	132	139
12.928753372888117	133.0	132	134
13.02897626725159	133.35	131	135
13.129199161615064	131.9	129	133
13.229422055978539	129.6	121	132
13.329644950342011	121.45	113	123
13.429867844705486	114.75	113	116
13.530090739068958	125.25	124	126
13.630313633432433	131.55	130	133
13.730536527795907	134.2	134	135
13.83075942215938	137.5	136	138
13.930982316522854	153.0	153	153
14.031205210886329	159.0	158	160
14.131428105249801	159.0	159	159
14.231650999613276	152.5	151	154
14.331873893976748	150.6	149	151
14.432096788340223	145.35	142	151
14.532319682703697	164.05	164	165
14.63254257706717	170.8	169	173
14.732765471430644	164.05	158	168
14.832988365794119	157.1	157	158
14.933211260157591	158.05	158	159
15.033434154521066	162.0	162	162
15.13365704888454	162.7	162	163
15.233879943248013	150.95	150	157
15.334102837611487	149.5	141	153
15.43432573197496	141.0	141	141
15.534548626338434	141.0	141	141
15.634771520701909	150.45	141	159
15.734994415065382	162.25	161	166
15.835217309428856	177.05	177	178
15.93544020379233	177.0	176	178
16.035663098155805	176.1	176	177
16.135885992519277	180.4	177	184
16.23610888688275	183.35	179	192
16.336331781246226	168.05	154	195
16.4365546756097	157.75	154	181
16.53677756997317	154.0	154	154
16.637000464336648	154.0	154	154
