age,xco2,xco2_16pc,xco2_84pc
3.6,271.341596436085,254.145321922544,289.005621025703
3.6,276.631516965167,259.11771565937,294.676542047683
3.9,289.950501486705,269.91688506595,310.690752332804
4.6,278.982584840217,259.702011022821,298.961803841424
5,298.291682432328,277.729295021388,319.580049213079
7.8,271.742806836758,252.938740514921,291.201234513951
7.8,283.471929530044,263.868126343725,303.747411903115
9.5,281.056968930033,261.601107608406,301.182226243238
10.3,252.480828923129,234.930614762347,270.625023609931
11.7,270.883316083981,252.101197857831,290.31106846176
14,246.233123807723,229.094519346379,263.95844630195
14.6,242.685656070606,227.329938562754,258.459299858089
14.6,233.019845261797,218.283392088425,248.160763514971
15.1,242.304457678099,225.42582047865,259.746904369912
15.1,229.505313811485,213.46545197852,246.081862875038
17,229.73039405028,214.572396296245,245.509401489869
17.3,233.466731054029,217.15819460822,250.297501689375
19.2,170.800410579252,158.556175760297,183.413437123843
20.4,176.824244738082,165.630628115557,188.280461086097
21.1,212.354961884714,197.440194375878,227.769499797927
22.5,212.478740196246,197.555187249145,227.903688588375
24.8,189.701056009474,176.254110088628,203.58480369357
26.3,180.618795863651,167.748781618021,193.892988095882
26.3,175.451489942766,162.91638376015,188.388517677629
36.9,224.286386287626,208.575495669527,240.517988449936
40.8,214.154100650357,200.623697301552,228.082583027888
47.1,219.350020110128,203.968392215497,235.241628265787
52.3,208.986003283348,194.293496696603,224.182824487279
61.4,209.148299506171,194.445231456458,224.36017918227
70.6,243.260077072969,227.875238184792,259.110860003232
76.3,249.302503975146,231.946715299372,267.230061597414
83,250.588571881645,233.150652648255,268.607343358672
88.1,277.793316417802,258.545806026915,297.6933236575
99.6,288.957781714184,268.989464289544,309.63562808891
104.5,264.964048587936,246.586895460292,283.955776523648
111.32,295.080486592367,275.121303824117,315.654465671095
113.6,266.665226658598,249.771367592132,284.030651415654
114.2,326.64000427917,304.139251921081,350.000592548073
116.1,344.964937790259,321.263042418219,369.58907161333
119.06,317.852688786339,295.680475555998,340.962442125185
119.1,356.476464491166,332.010254619055,381.899917518254
122.3,282.156916553977,262.65587788215,302.351546764148
123.2,314.763581002585,294.833121641297,335.347728972251
124.37,299.36947479512,279.471512467712,319.637198145856
127.48,288.272474428464,268.737565360613,308.360468489183
128.1,277.689111137414,260.113010580626,295.761210997147
131,298.462223981938,277.878880071109,319.763590482157
131.91,262.024301589003,244.257869334368,280.268399181321
133.22,249.114653806269,232.133807141489,266.531662770456
134,219.433090262943,204.127979896318,235.234791946147
135.57,218.201457503618,203.012878729455,233.861470523313
136.8,195.871576879653,183.486832207465,208.602235719309
138.6,175.742277007394,164.607499749015,187.124588175045
138.97,218.026768742171,202.999856199398,233.44943644553
146.69,226.938696315627,211.258415883335,243.037099518463
150.04,218.241412814415,203.224764562825,233.647041265769
169.76,218.190797776433,203.161000644287,233.628516939574
179.94,216.031766051892,201.14436005123,231.249445239246
184.37,225.405492295485,209.777567725479,241.490112554829
190.01,236.024690134815,219.911199416766,252.461351540927
191.68,236.090591059905,219.883868096908,252.789722391394
198.07,261.824665843548,244.166360158499,279.85669170553
211.57,293.286593580949,273.280535865259,313.909295638296
220.44,275.643880688085,257.186248788933,294.44321433088
223.66,274.704841747818,255.489633914915,294.70616897795
227.1,245.824200593893,228.898332108009,263.307874394282
235.76,276.730765834691,257.57637989085,296.521843810735
239.48,255.974230244086,238.555491626087,273.906391672405
242.9,292.988479634103,272.687528677056,314.029793011006
247.18,275.632427797642,257.001844423469,294.799015873084
250.07,236.527199861571,220.353253986742,253.08908994666
257.84,246.173406289592,229.511703782767,263.133775006813
329.1,306.147156926671,286.714874205764,326.190631433934
358.5,212.393439102762,198.976475144578,226.205587937572
366.9,225.747727728836,211.481888321104,240.429477988825
386.4,254.885943998471,238.755310213905,271.4769679948
409.1,306.924803669597,287.478905055535,327.002780227443
418.8,279.935933694183,262.201952983244,298.169171617165
541.6,244.28452766509,228.833937180292,260.176729960516
556.0931,245.342888896711,223.980684408469,267.896998727337
616.3,255.315548066714,239.167021871472,271.899582221632
651,173.740128415834,162.729181183867,184.99264103055
662.1,198.148732403024,185.637862907604,211.007228110112
675,217.319186347392,203.593304820252,231.44879443071
702.2,257.92762292358,241.614853995549,274.674391780114
703.5,268.082844315539,251.115019145618,285.514228479853
731,226.366835260669,212.05870117367,241.075242006795
752.4,208.766140148836,195.579347029345,222.330121601792
891.9,201.977821278214,189.221206969972,215.094753852516
950,289.40663265917,271.086445884035,308.277630838025
952.8,313.494772390182,293.634228149112,334.0123073576
1072.8,301.16041500593,282.094969067517,320.854458392782
1078.9,262.481410008893,245.871728451731,279.558149219476
1087.26,246.483578044408,229.852337763412,263.365491835326
1088.69,274.554684776351,256.127864973028,293.323094307767
1090.03,235.822954350456,219.936185778431,251.987156953042
1092.67,256.874073300081,239.550606952383,274.506023994328
1094.71,266.780272999574,248.688337224448,285.353927690118
1099.46,346.558948478423,323.585248632485,370.035828346723
1102.42,324.674760272947,303.096933611191,346.65849437332
1103.16,335.309136902604,311.56595659039,360.103356945309
1106.2,261.875102220183,244.548155071008,279.344230113628
1107.82,280.824213566718,261.948835448963,300.095543518383
1110.3,303.993239028999,283.815877124878,324.494029538356
1112.8,261.235034939433,243.66035457896,279.146412792233
1115.26,240.998338787898,224.684619231819,257.590887755351
1117.86,226.556385615093,211.353549883542,241.809737698348
1120.36,263.66264071901,246.180364948805,281.263521803732
1123.09,214.782108615,200.288430175158,229.294069227997
1126.06,262.510410341728,244.707767470894,280.785174057083
1127.81,261.148164246314,243.394308740913,279.412045769269
1130.97,266.294613781715,248.599244325514,284.209100881419
1136.57,314.43785823024,293.84578752363,335.211082148471
1140.03,330.851093408869,308.874771386683,353.372957699865
1143.23,300.441027742825,279.652836730104,321.991393380026
1145.33,319.835355418502,298.052296703695,342.314559330563
1148.9,336.669704928391,311.295739327605,363.258720874473
1150.94,280.926333149214,261.563906575089,300.973006045444
1154.09,265.622638587994,247.513220751265,284.275406311055
1157.77,323.891370899725,302.070213213167,346.377438004501
1160.73,334.007015886745,311.497153636417,357.214967280867
1162.85,295.866831977307,276.11106201157,316.024220027982
1168.3,270.951434466289,253.789964621033,288.59213904146
1169.86,305.303638652301,285.241852601076,325.62280461206
1177.57,293.724235611636,274.231222974103,313.498532091243
1179.66,282.087450349571,263.166353783136,301.394831409725
1181.75,247.959443519724,231.486957060521,264.503959762682
1184.06,240.526270163643,224.283853757823,256.982500693469
1185.97,274.824015942301,256.391208044053,293.605800262323
1188.07,284.718365752611,265.718238561348,304.052609460475
1191.31,228.462817860345,213.169242317616,243.806291202741
1192.4,214.212738172406,200.686150506104,228.144485363844
1195.15,220.819999028863,205.827521962666,236.042507030959
1203.26,205.800006565944,191.872334836324,219.747105355119
1206.76,231.990464297306,216.49177744064,247.517182518577
1209.99,254.954001455133,237.815746000853,272.328746512364
1212.5,228.24965682082,213.831734994509,243.082018328744
1214.48,310.618194276641,290.063213666852,331.4075323369
1216.42,292.598698739812,272.792397895751,313.010114446579
1218.54,323.455638654639,301.577246538402,345.993549519504
1224.18,273.137539249788,254.377149511789,292.483704103873
1227.17,291.995659532603,272.312119799561,312.234173117853
1230.72,338.290563615944,314.972147709989,362.526419487723
1233.3,253.444981531777,237.417367842959,269.920784151815
1233.9,319.408528719929,298.066783535058,341.388644849056
1236.18,281.53543036933,262.843201692472,300.537972134981
1238.7,277.841080267491,260.251374986118,295.9264906487
1239.83,288.360123192689,268.97993695216,308.18974111564
1243.25,313.769263092685,293.221023645134,334.5018946136
1253,204.829402272662,191.883081589144,218.13603112569
1261.7,244.487695748673,229.023030894478,260.382762288321
1351.5,291.922774453124,273.445456710758,310.954303368969
1380.3,222.992115592428,208.903473354276,237.489854518479
1384,218.122391059358,204.447548181101,232.068902511649
1392.666667,288.186783922708,268.659547140968,308.478063558831
1397.333333,276.927296828397,259.538779843446,294.750906570001
1402,324.87522211043,303.791112728127,346.806937953586
1408,314.476202711258,289.287449405637,340.926348171177
1414,262.106376640075,245.481759414206,279.178054177003
1420,203.641787583377,189.907185118762,217.884109937095
1425.166667,239.672343367319,224.270630164574,255.569483475689
1430.333333,231.776279269909,216.138879507086,247.996035825032
1435.5,248.436219365216,227.600333226625,270.343750433343
1440.666667,297.331013969256,278.156507092664,317.154166124443
1445.833333,293.882125786927,273.827143927018,314.659621769308
1451.025316,260.584384141164,239.287854450536,282.870144541392
1455.522152,237.666774582113,222.139173056617,253.770732696931
1459.376582,260.920226023022,244.121102327727,278.276642275359
1464.515823,251.21795550509,235.334438151673,267.553711712521
1473.509494,284.921206849073,267.106714579849,303.094077299041
1478.006329,277.605959617728,260.173324918754,295.483790599982
1482.503165,231.001652666398,216.592833936168,245.689348281376
1487,262.996950241669,246.372271498777,280.084841589459
1490,298.095475181827,279.378614969069,317.313496050077
1493,216.800556704378,203.210181624486,230.653488925473
1496.428571,201.482271000474,188.742049264254,214.573259342016
1499,225.312688297305,211.067285728019,239.955426140763
1499,224.88083581592,211.017514946117,238.823683080373
1502.333333,183.050528564369,171.560997433225,194.778828929006
1505.666667,250.357527158926,234.830740755684,266.121610055097
1509,279.905441153976,262.050075353723,298.347586152906
1512.333333,226.687863371884,212.186899928711,241.683605988179
1515.666667,303.383485563936,284.004805711491,323.38001091498
1519,282.112821594462,263.896529127375,300.927883557146
1522.333333,287.994265005248,268.739621787821,308.070648019764
1525.666667,310.534205962231,291.115341366221,330.346222706514
1528.149,237.731303085002,221.325507455924,254.721169791901
1529,258.111451836262,242.127093443658,274.360656247666
1535.666667,294.401852512057,275.747528499932,313.658677263909
1539,225.719544732965,211.457402041266,240.387319471543
1541.3,228.863107554825,214.398472512648,243.734249385277
1542.3,280.86641894738,263.083289957923,299.178334271241
1574.1,278.190005034623,260.573173869861,296.292391885152
1577.4,216.255613294142,202.590040019568,230.31360249491
1616,305.834238328444,286.472713064383,325.828201817268
1644.6,192.239330789394,180.073613935808,204.694237059747
1648.7,199.637141832096,187.01797967505,212.568955713154
1659.5,194.010376368458,181.751972846535,206.580313974114
1698.5,293.542265620784,274.954983785918,312.696765675531
1753.1,292.047607132356,273.548871209927,311.121782698207
1774.9,219.668055775406,205.811716598737,233.946355495051
1779.6,229.10499168372,214.631872431926,243.987958664957
1883.341,224.986214763157,209.982847788969,240.573820782132
2214.771,302.194952700065,282.046806133216,323.215745229953
2337.82251,329.958570558561,308.012339618705,352.388230817749
2346.710693,328.861412577079,303.948256545112,354.927417291424
2352.717773,319.298642864035,297.890380375188,341.290457439443
2362.218994,463.32679693824,429.041306488187,499.39943526972
2372.198242,427.96703824229,398.788209057122,458.447206036872
2381.290283,384.949304336707,358.660278042836,412.297484459799
2389.315918,390.324744195046,364.641799428553,416.693670678835
2410.920166,289.918224052311,270.624214529997,309.46744263313
2424.888916,345.406599971606,322.560994070331,368.689356152986
2451.231689,332.726043992946,310.805946581051,355.027399468982
2474.494141,354.345250422147,330.940502854499,378.168198946442
2500.40332,371.158154913594,346.323383690115,396.748640678572
2501.402588,376.08967795466,351.33143104262,401.381859963569
2521.932373,256.612036994277,239.426433756977,274.058690564829
2545.154541,348.276670192548,325.350083635218,371.607554533534
2548.644,280.820912194112,262.698475851552,299.591811581562
