time	diversity	m_div	M_div
0.0	62.0	62	62
0.10015846575985675	69.0	69	69
0.2003169315197135	70.0	70	70
0.30047539727957023	74.0	74	74
0.400633863039427	75.0	75	75
0.5007923287992837	76.0	76	76
0.6009507945591405	81.0	81	81
0.7011092603189972	86.0	86	86
0.801267726078854	87.0	87	87
0.9014261918387108	91.0	91	91
1.0015846575985674	90.85	90	91
1.1017431233584243	90.6	89	91
1.201901589118281	89.0	89	89
1.3020600548781378	91.0	91	91
1.4022185206379945	90.0	90	90
1.5023769863978513	91.25	91	92
1.602535452157708	90.65	89	91
1.7026939179175646	85.7	82	95
1.8028523836774215	103.45	95	117
1.9030108494372782	120.15	120	123
2.003169315197135	123.0	123	123
2.1033277809569917	89.4	87	109
2.2034862467168486	102.0	102	102
2.3036447124767054	97.0	97	97
2.403803178236562	96.9	95	97
2.5039616439964187	104.9	104	106
2.6041201097562756	119.5	119	120
2.704278575516132	128.05	128	129
2.804437041275989	119.25	117	129
2.904595507035846	100.85	97	114
3.0047539727957027	93.4	93	97
3.104912438555559	95.15	93	96
3.205070904315416	102.5	93	109
3.305229370075273	109.3	100	128
3.4053878358351293	120.8	107	127
3.505546301594986	125.45	120	129
3.605704767354843	125.35	125	127
3.7058632331147	125.95	122	130
3.8060216988745563	125.2	118	130
3.906180164634413	124.25	109	127
4.00633863039427	114.2	100	127
4.1064970961541265	104.1	96	114
4.206655561913983	96.5	96	100
4.30681402767384	96.0	96	96
4.406972493433697	94.5	93	96
4.507130959193554	93.35	93	96
4.607289424953411	93.15	93	96
4.707447890713267	91.7	90	93
4.807606356473124	95.95	92	99
4.907764822232981	113.55	108	114
5.0079232879928375	130.15	129	132
5.108081753752694	133.9	133	134
5.208240219512551	135.15	128	143
5.308398685272408	109.15	106	122
5.408557151032264	96.0	96	96
5.508715616792121	96.6	96	97
5.608874082551978	91.05	84	96
5.709032548311835	54.25	54	55
5.809191014071692	74.0	74	74
5.9093494798315485	81.0	81	81
6.009507945591405	81.2	81	83
6.109666411351261	83.7	80	87
6.209824877111118	80.1	76	88
6.309983342870975	77.2	76	82
6.410141808630832	78.6	77	83
6.510300274390689	78.55	78	79
6.610458740150546	78.9	78	79
6.710617205910403	82.7	78	85
6.8107756716702585	84.45	82	85
6.910934137430115	111.4	104	113
7.011092603189972	131.15	128	134
7.111251068949829	136.85	135	138
7.211409534709686	136.1	133	140
7.311568000469543	142.7	137	157
7.4117264662294	153.5	131	180
7.511884931989256	147.0	136	160
7.612043397749113	136.55	136	145
7.7122018635089695	131.25	129	137
7.812360329268826	127.7	124	131
7.912518795028683	111.4	100	128
8.01267726078854	94.65	89	124
8.112835726548397	89.85	89	96
8.212994192308253	89.2	88	90
8.31315265806811	88.5	88	90
8.413311123827967	88.6	88	90
8.513469589587825	88.7	88	90
8.61362805534768	89.2	89	93
8.713786521107536	90.9	89	95
8.813944986867394	97.1	95	104
8.91410345262725	108.7	104	115
9.014261918387108	115.75	114	117
9.114420384146964	116.45	116	117
9.214578849906822	113.75	107	117
9.314737315666678	111.25	108	118
9.414895781426534	97.5	92	109
9.515054247186391	93.25	86	94
9.615212712946247	92.1	91	95
9.715371178706105	112.45	108	125
9.815529644465961	132.4	126	139
9.915688110225819	137.8	131	139
10.015846575985675	138.8	137	139
10.116005041745531	138.75	134	139
10.216163507505389	133.45	123	134
10.316321973265245	123.55	102	133
10.416480439025102	113.95	95	117
10.516638904784958	98.25	92	100
10.616797370544816	91.2	90	93
10.716955836304672	90.7	90	95
10.817114302064528	92.2	90	95
10.917272767824386	94.9	90	108
11.017431233584242	100.6	93	108
11.1175896993441	105.5	98	108
11.217748165103956	108.05	108	109
11.317906630863813	108.3	108	109
11.41806509662367	108.85	107	112
11.518223562383525	109.25	106	112
11.618382028143383	96.45	96	105
11.71854049390324	74.05	74	75
11.818698959663097	75.3	75	76
11.918857425422953	80.45	76	83
12.01901589118281	85.55	78	89
12.119174356942667	84.45	83	88
12.219332822702523	83.0	83	83
12.31949128846238	85.45	83	87
12.419649754222236	85.45	77	89
12.519808219982094	77.85	69	80
12.61996668574195	93.05	69	106
12.720125151501808	107.6	99	114
12.820283617261664	114.0	114	114
12.92044208302152	112.3	112	114
13.020600548781378	109.6	107	112
13.120759014541234	109.0	108	110
13.220917480301091	95.5	94	109
13.321075946060947	92.45	90	96
13.421234411820805	92.0	92	92
13.521392877580661	94.45	92	97
13.621551343340517	97.45	97	98
13.721709809100375	98.4	98	101
13.82186827486023	102.25	100	103
13.922026740620089	103.0	101	106
14.022185206379945	106.0	106	106
14.122343672139802	105.05	105	106
14.222502137899658	104.55	104	105
14.322660603659514	99.35	99	104
14.422819069419372	117.5	114	118
14.522977535179228	126.2	116	130
14.623136000939086	128.95	126	130
14.723294466698942	124.85	124	130
14.8234529324588	124.35	116	130
14.923611398218656	119.65	116	130
15.023769863978512	120.5	119	122
15.12392832973837	121.55	121	122
15.224086795498225	121.2	109	122
15.324245261258083	113.6	110	122
15.424403727017939	109.0	105	110
15.524562192777797	105.3	105	110
15.624720658537653	105.6	105	110
15.724879124297509	109.75	105	115
15.825037590057367	111.25	105	125
15.925196055817223	122.8	120	123
16.02535452157708	122.15	121	123
16.125512987336936	121.35	121	128
16.225671453096794	110.7	103	132
16.325829918856652	98.55	82	147
16.425988384616506	98.6	97	129
16.526146850376364	97.0	97	97
16.62630531613622	97.0	97	97
16.726463781896076	81.85	80	82
16.826622247655934	64.0	64	64
16.92678071341579	63.0	63	63
17.02693917917565	67.0	67	67
17.127097644935503	75.0	75	75
17.22725611069536	101.55	91	106
17.32741457645522	102.65	101	103
17.427573042215073	102.0	83	103
17.52773150797493	83.15	54	85
17.62788997373479	50.65	42	54
17.728048439494646	41.9	40	42
17.8282069052545	40.0	40	40
17.92836537101436	39.0	39	39
18.028523836774216	39.0	39	39
18.12868230253407	39.0	39	39
18.228840768293928	39.0	39	39
18.328999234053786	39.0	39	39
18.429157699813643	39.55	39	48
18.529316165573498	63.05	48	64
18.629474631333355	64.0	64	64
18.729633097093213	53.3	47	64
18.829791562853067	41.5	40	47
18.929950028612925	40.0	40	40
19.030108494372783	46.0	46	46
19.13026696013264	55.0	55	55
19.230425425892495	55.0	55	55
19.330583891652353	49.3	46	55
19.43074235741221	51.2	51	52
19.530900823172065	72.0	72	72
19.631059288931922	73.0	73	73
19.73121775469178	69.2	64	73
19.831376220451638	51.0	48	54
19.931534686211492	41.85	40	44
20.03169315197135	40.0	39	41
20.131851617731208	39.55	39	40
20.232010083491062	40.65	40	43
20.33216854925092	43.2	43	44
20.432327015010777	43.1	43	44
20.532485480770635	43.1	43	44
20.63264394653049	43.1	43	44
20.732802412290347	43.05	43	44
20.832960878050205	43.05	43	44
20.93311934381006	43.05	43	44
21.033277809569917	43.0	43	43
21.133436275329775	43.0	43	43
21.233594741089632	51.0	51	51
21.333753206849487	54.25	51	66
21.433911672609344	66.0	66	66
21.534070138369202	74.75	70	75
21.634228604129056	75.0	75	75
21.734387069888914	75.0	75	75
21.834545535648772	85.0	85	85
21.93470400140863	85.0	85	85
22.034862467168484	85.0	85	85
22.13502093292834	85.0	85	85
22.2351793986882	85.0	84	86
22.335337864448054	78.8	68	86
22.43549633020791	67.5	63	81
22.53565479596777	64.35	63	71
22.635813261727627	65.45	59	68
22.73597172748748	58.35	56	71
22.83613019324734	53.35	49	63
22.936288659007197	51.05	51	52
23.03644712476705	51.1	51	53
23.13660559052691	49.2	46	54
23.236764056286766	48.75	46	51
23.336922522046624	49.6	49	53
23.43708098780648	51.95	49	53
23.537239453566336	53.0	52	54
23.637397919326194	50.35	49	53
23.737556385086048	49.5	44	51
23.837714850845906	41.5	37	49
23.937873316605764	37.35	37	40
24.03803178236562	36.9	36	41
24.138190248125476	38.2	36	41
24.238348713885333	40.85	40	41
24.33850717964519	39.75	37	41
24.438665645405045	37.2	36	41
24.538824111164903	35.85	35	37
24.63898257692476	35.15	35	37
24.73914104268462	35.0	35	35
24.839299508444473	35.0	35	35
24.93945797420433	33.9	31	35
25.03961643996419	30.6	29	34
25.139774905724042	28.75	27	30
25.2399333714839	26.95	26	28
25.340091837243758	26.25	26	27
25.440250303003616	26.05	26	27
25.54040876876347	26.0	26	26
25.640567234523328	26.0	26	26
25.740725700283186	26.0	26	26
25.84088416604304	26.0	26	26
25.941042631802897	26.0	26	26
26.041201097562755	26.0	26	26
26.141359563322613	26.0	26	26
26.241518029082467	26.05	26	27
26.341676494842325	26.65	26	27
26.441834960602183	26.95	26	27
26.541993426362037	27.0	27	27
26.642151892121895	27.1	27	28
26.742310357881752	28.0	27	29
26.84246882364161	28.9	28	32
26.942627289401464	37.4	34	41
27.042785755161322	41.7	39	42
27.14294422092118	42.05	42	43
27.243102686681034	44.8	42	49
27.343261152440892	48.85	47	49
27.44341961820075	49.0	49	49
27.543578083960607	49.0	49	49
27.64373654972046	49.0	49	49
27.74389501548032	49.05	49	50
27.844053481240177	49.75	49	52
27.94421194700003	51.75	50	52
28.04437041275989	52.0	52	52
28.144528878519747	52.0	52	52
28.244687344279605	51.95	51	52
28.34484581003946	51.85	51	52
28.445004275799317	51.25	47	52
28.545162741559174	49.65	47	51
28.64532120731903	40.75	40	47
28.745479673078886	40.0	40	40
28.845638138838744	28.9	28	36
28.945796604598602	28.2	28	30
29.045955070358456	31.95	29	34
29.146113536118314	34.0	34	34
29.24627200187817	34.1	34	35
29.346430467638026	47.95	43	51
29.446588933397884	51.0	51	51
29.54674739915774	51.0	51	51
29.6469058649176	51.0	51	51
29.747064330677453	51.0	51	51
29.84722279643731	51.0	51	51
29.94738126219717	51.0	51	51
30.047539727957023	51.0	51	51
30.14769819371688	51.0	51	51
30.24785665947674	51.0	51	51
30.348015125236596	34.05	34	35
30.44817359099645	34.4	34	35
30.54833205675631	29.55	28	33
30.648490522516166	27.0	27	27
30.74864898827602	27.1	27	28
30.848807454035878	28.4	28	29
30.948965919795736	29.0	29	29
31.049124385555594	30.65	30	31
31.149282851315448	31.0	31	31
31.249441317075306	31.0	31	31
31.349599782835163	31.0	31	31
31.449758248595018	30.2	30	32
31.549916714354875	37.0	37	37
31.650075180114733	35.1	35	36
31.75023364587459	35.0	35	35
31.850392111634445	35.0	35	35
31.950550577394303	33.85	33	35
32.05070904315416	33.5	33	35
32.15086750891402	34.9	34	35
32.25102597467387	32.05	32	33
32.35118444043373	37.0	37	37
32.45134290619359	37.0	37	37
32.55150137195344	37.0	37	37
32.651659837713304	37.0	37	37
32.75181830347316	37.0	37	37
32.85197676923301	34.25	32	36
32.95213523499287	26.0	26	26
33.05229370075273	26.0	26	26
33.15245216651258	24.2	22	26
33.25261063227244	21.0	21	21
33.3527690980323	23.0	23	23
33.45292756379215	21.0	21	21
33.55308602955201	26.6	25	27
33.65324449531187	27.0	27	27
33.75340296107172	27.0	27	27
33.85356142683158	27.0	27	27
33.95371989259144	27.0	27	27
34.0538783583513	27.0	27	27
34.15403682411115	28.3	27	29
34.25419528987101	29.0	29	29
34.35435375563087	29.25	29	30
34.45451222139072	22.5	22	24
34.554670687150576	21.55	21	22
34.65482915291044	17.0	17	17
34.75498761867029	17.0	17	17
34.855146084430146	20.0	20	20
34.95530455019001	22.0	22	22
35.05546301594986	22.0	22	22
35.155621481709716	22.0	22	22
35.25577994746958	20.0	20	20
35.35593841322943	20.0	20	20
35.45609687898929	18.05	18	19
35.55625534474915	18.0	18	18
35.656413810509	17.05	17	18
35.75657227626886	15.7	15	17
35.85673074202872	15.0	15	15
35.95688920778857	14.45	14	15
36.05704767354843	14.0	14	14
36.157206139308286	14.0	14	14
36.25736460506814	14.0	14	14
36.357523070828	14.0	14	14
36.457681536587856	14.1	12	15
36.55784000234771	13.0	13	13
36.65799846810757	12.95	12	13
36.758156933867426	10.05	10	11
36.85831539962729	10.0	10	10
36.95847386538714	10.0	10	10
37.058632331146995	10.0	10	10
37.15879079690686	11.0	11	11
37.25894926266671	11.0	11	11
37.359107728426565	11.0	11	11
37.459266194186426	11.0	11	11
37.55942465994628	11.0	11	11
37.659583125706135	11.0	11	11
37.759741591465996	11.0	11	11
37.85990005722585	11.0	11	11
37.960058522985705	11.0	11	11
38.060216988745566	11.0	11	11
38.16037545450542	11.0	11	11
38.26053392026528	10.2	10	11
38.360692386025136	10.0	10	10
38.46085085178499	9.8	9	10
38.56100931754485	7.15	7	9
38.661167783304705	7.0	7	7
38.76132624906456	7.0	7	7
38.86148471482442	7.0	7	7
38.961643180584275	7.0	7	7
39.06180164634413	7.0	7	7
39.16196011210399	7.0	7	7
39.262118577863845	7.0	7	7
39.3622770436237	7.0	7	7
39.46243550938356	9.0	9	9
39.562593975143415	9.0	9	9
39.662752440903276	9.9	9	11
39.76291090666313	11.0	11	11
39.863069372422984	11.0	11	11
39.963227838182846	11.0	11	11
40.0633863039427	11.0	11	11
40.163544769702554	11.0	11	11
40.263703235462415	11.0	11	11
40.36386170122227	11.0	11	11
40.464020166982124	9.4	9	11
40.564178632741985	9.0	9	9
40.66433709850184	9.0	9	9
40.76449556426169	7.0	7	7
40.864654030021555	5.15	5	6
40.96481249578141	5.0	5	5
41.06497096154127	4.25	4	5
41.165129427301125	4.0	4	4
41.26528789306098	4.0	4	4
41.36544635882084	4.0	4	4
41.465604824580694	4.0	4	4
41.56576329034055	4.0	4	4
41.66592175610041	4.0	4	4
41.766080221860264	4.0	4	4
41.86623868762012	4.0	4	4
41.96639715337998	4.15	4	5
42.066555619139834	8.65	7	9
42.16671408489969	9.0	9	9
42.26687255065955	9.05	9	10
42.3670310164194	10.95	10	11
42.467189482179265	11.0	11	11
42.56734794793912	11.0	11	11
42.66750641369897	11.0	11	11
42.767664879458835	11.0	11	11
42.86782334521869	11.0	11	11
42.96798181097854	11.0	11	11
43.068140276738404	11.0	11	11
43.16829874249826	11.0	11	11
43.26845720825811	11.0	11	11
43.368615674017974	11.0	11	11
43.46877413977783	9.1	9	10
43.56893260553768	9.0	9	9
43.669091071297544	9.0	9	9
43.7692495370574	9.0	9	9
43.86940800281726	9.0	9	9
43.96956646857711	9.0	9	9
44.06972493433697	9.0	9	9
44.16988340009683	9.0	9	9
44.27004186585668	9.0	9	9
44.37020033161654	10.0	10	10
44.4703587973764	10.0	10	10
44.57051726313625	10.0	10	10
44.67067572889611	10.0	10	10
44.77083419465597	10.0	10	10
44.87099266041582	9.8	7	10
44.97115112617568	6.0	6	6
45.07130959193554	7.0	7	7
45.17146805769539	7.0	7	7
45.271626523455254	7.0	7	7
45.37178498921511	6.05	6	7
45.47194345497496	6.0	6	6
45.57210192073482	6.0	6	6
45.67226038649468	6.0	6	6
45.77241885225453	5.7	5	6
45.87257731801439	4.3	0	5
45.97273578377425	0.25	0	5
46.0728942495341	0.0	0	0
46.17305271529396	0.0	0	0
46.27321118105382	0.0	0	0
46.37336964681367	0.0	0	0
46.47352811257353	0.0	0	0
46.57368657833339	0.0	0	0
46.67384504409325	0.0	0	0
46.7740035098531	0.0	0	0
46.87416197561296	0.0	0	0
46.97432044137282	0.0	0	0
47.07447890713267	0.0	0	0
47.174637372892526	0.0	0	0
47.27479583865239	0.0	0	0
47.37495430441224	0.4	0	2
47.475112770172096	2.0	2	2
47.57527123593196	2.0	2	2
47.67542970169181	0.0	0	0
47.775588167451666	0.25	0	2
47.87574663321153	1.8	0	2
47.97590509897138	3.0	3	3
48.07606356473124	3.0	3	3
48.1762220304911	2.25	2	3
48.27638049625095	2.0	2	2
48.37653896201081	2.0	2	2
48.47669742777067	5.15	2	13
48.57685589353052	11.9	10	13
48.67701435929038	13.35	13	19
48.777172825050236	17.2	13	19
48.87733129081009	19.35	13	20
