#Name,Category,Mass,Source
Hyainailouros bugtiensis,Carn,880000,"Rasmussen, D. T., Tilden, C. D., & Simons, E. L. (1989). New specimens of the giant creodont Megistotherium (Hyaenodontidae) from Moghara, Egypt. Journal of Mammalogy, 70(2), 442-447."
Hyaenodon weilini,Carn,671000,"Evans, A. R., Jones, D., Boyer, A. G., Brown, J. H., Costa, D. P., Ernest, S. M., ... & Harding, L. E. (2012). The maximum rate of mammal evolution. Proceedings of the National Academy of Sciences, 109(11), 4187-4190."
Agriotherium inexpectans,Carn,556090.000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hyainailouros sulzeri,Carn,500000,"Antunes, M. T., Balbino, A. C., & Ginsburg, L. (2006, March). Ichnological evidence of a Miocene rhinoceros bitten by a bear-dog (Amphicyon giganteus). In Annales de paléontologie (Vol. 92, No. 1, pp. 31-39). Elsevier Masson."
Ursus spelaeus,Carn,390416.666666667,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Ursus maritimus,Carn,388750.3565,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Dinocrocuta gigantea,Carn,380000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Indarctos atticus,Carn,350000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Agriotherium intermedium,Carn,318248,genus mean
Amphicyon giganteus,Carn,300000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Agriotherium insigne,Carn,285000,http://www.helsinki.fi/science/now/
Ursus deningeri,Carn,274789.41531024,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Amphicyon confucianus,Carn,250000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Hemicyon sansaniensis,Carn,224905.460583579,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Amphicyon tairumensis,Carn,213867,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Ysengrinia depereti,Carn,213528,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Megarocyon castellanus,Carn,198152.70258051,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Amphicyon major,Carn,196257,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Plithocyon armagnacensis,Carn,184429,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Ursus arctos,Carn,180520.4215,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Ursus bibersoni,Carn,172720,genus mean
Panthera crassidens,Carn,169298.6583,genus mean
Panthera tigris,Carn,162564,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Ursus kokeni,Carn,161920.7117,genus mean
Ursus namadicus,Carn,161920.7117,genus mean
Panthera leo,Carn,161499.06,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Amphicyon cooperi,Carn,160000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Indarctos arctoides,Carn,160000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Amphicyon bohemicus,Carn,152804,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Magericyon anceps,Carn,150000,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Euroamphicyon olisiponensis,Carn,138594,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Percrocuta tungurensis,Carn,134896.288259165,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Pachycrocuta licenti,Carn,130601,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Amphicyon palaeindicus,Carn,130000,http://www.helsinki.fi/science/now/
Pseudocyon sansaniensis,Carn,130000,http://www.helsinki.fi/science/now/
Hemicyon goeriachensis,Carn,120000,http://www.helsinki.fi/science/now/
Pachycrocuta brevirostris,Carn,120000,http://www.helsinki.fi/science/now/
Dinocrocuta senyureki,Carn,110000,http://www.helsinki.fi/science/now/
Ailuropoda melanoleuca,Carn,108400,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Dinocrocuta robusta,Carn,100000,http://www.helsinki.fi/science/now/
Plesiogulo monspessulanus,Carn,100000,http://www.helsinki.fi/science/now/
Phoberocyon hispanicus,Carn,97723.7220955813,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Ysengrinia gerandiana,Carn,94372,genus mean
Chasmaporthetes progressus,Carn,92204.0000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Ursus etruscus,Carn,90000,http://www.helsinki.fi/science/now/
Panthera gombaszoegensis,Carn,89949.7581530035,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Chasmaporthetes kani,Carn,83802.0000000002,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Pliocrocuta perrieri,Carn,79432.8234724282,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Canis longdanensis,Carn,79325.0000000001,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Crocuta honanensis,Carn,78232,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Ursus thibetanus,Carn,77500,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
Hyaena prisca,Carn,76000,"Raia, P., Meloro, C., & Barbera, C. (2007). Inconstancy in predator/prey ratios in Quaternary large mammal communities of Italy, with an appraisal of mechanisms. Quaternary Research, 67(2), 255-263."
Chasmaportetes lunensis,Carn,75857.7575029185,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Chasmaporthetes lunensis,Carn,75857.7575029185,"Raia, P., Carotenuto, F., Passaro, F., Piras, P., Fulgione, D., Werdelin, L., ... & Fortelius, M. (2013). Rapid action in the Palaeogene, the relationship between phenotypic and taxonomic diversification in Coenozoic mammals. Proceedings of the Royal Soci"
Allohyaena kadici,Carn,75000,http://www.helsinki.fi/science/now/
Simocyon primigenius,Carn,70000,"Finarelli, J. A. (2007). Mechanisms behind active trends in body size evolution of the Canidae (Carnivora: Mammalia). The American Naturalist, 170(6), 876-885."
Adcrocuta eximia,Carn,70000,http://www.helsinki.fi/science/now/
Crocuta crocuta,Carn,62999.92,"Faurby, S., & Svenning, J. C. (2016). Resurrection of the island rule: human-driven extinctions have obscured a basic evolutionary pattern. The American Naturalist, 187(6), 812-820."
