"Mid-ocean ridge(MOR) length and mean and standard deviation of seafloor spreading (SFS) rates. MOR carbon flux bounds are 7.8-10.4 Mt/yr (Chavrit et al., 2014 - ref. 16).",,,
Time (Ma),MOR Length (m),Mean SFS Rate (cm/yr),Crustal production in m2/yr
0,56669032.2005,5.17479082249,2932503.87750538
1,55791267.5983,5.21296961446,2908381.82742145
2,56005118.0193,5.20717001926,2916281.71475217
3,55600246.1372,5.20574670397,2894407.9806865
4,56386496.252,5.20791910036,2936563.10833168
5,55215151.0879,5.18052853102,2860436.65555446
6,55816325.0255,5.21636189663,2911581.51072934
7,56424055.5517,5.24324052255,2958448.94515286
8,54958026.3353,5.30386201469,2914897.8828213
9,56846299.3396,5.3648781476,3049734.69098948
10,56386402.7772,5.43014120831,3061861.29308839
11,57933710.1346,5.44099357297,3152169.44500666
12,55124925.157,5.44289587266,3000392.27617727
13,55325658.3505,5.42780396986,3002968.28029962
14,56398583.2018,5.3764683147,3032251.95578449
15,61249045.4354,5.34903072773,3276230.26078085
16,62534059.8069,5.36648402291,3355880.32841427
17,62682896.5404,5.46612146221,3426323.26092969
18,64751173.7675,5.58345600931,3615353.30282024
19,65066543.7837,5.68460484224,3698775.89860642
20,61465171.6952,5.78975674842,3558683.92615078
21,64017487.768,5.80004146637,3713040.83627234
22,63614624.8562,5.83214780433,3710098.94678363
23,60197637.426,5.79479852075,3488331.8030883
24,62312604.4403,5.79856192342,3613234.95456656
25,62140938.1601,5.81601083046,3614123.69354087
26,70787535.9678,5.83058022634,4127324.07485186
27,69598513.8449,5.74983749887,4001801.44771029
28,67710018.8819,5.6955404693,3856451.52718929
29,69706694.6402,5.5448447739,3865128.01481556
30,70180285.8631,5.40518245678,3793372.49959034
31,64636357.3723,5.40492798406,3493548.56749247
32,65646284.1013,5.35261706519,3513794.20546929
33,68809938.6778,5.29481550041,3643359.29893477
34,66428362.0896,5.33775578767,3545783.74209201
35,71170139.4218,5.32729092557,3791440.37913307
36,67795934.3745,5.15967713851,3498051.32676032
37,67153563.0221,5.14856785366,3457446.75834315
38,68212672.4522,5.17387050758,3529235.34243652
39,68122103.6792,5.17298651838,3523947.23936186
40,66449630.9377,5.16936339824,3435022.89995903
41,61771245.1473,5.25172852006,3244058.09859693
42,61480848.1062,5.240766981,3222067.98718849
43,61159626.6824,5.21850342717,3191617.21446542
44,60856572.2771,5.39447273596,3282891.19952795
45,60826390.8898,5.5912812264,3400974.57451807
46,62193976.5227,5.76526559285,3585647.92928843
47,62175213.1337,5.96686924791,3709913.67229724
48,63428844.739,6.12106188598,3882518.84003636
49,63563869.6819,6.12902512855,3895845.54548243
50,62748361.685,6.15532721273,3862366.98233905
51,63965919.204,6.15486727406,3937017.42763866
52,70610661.5993,6.01689552811,4248569.74013717
53,71456153.0281,5.92003033824,4230225.93780272
54,71891448.6518,5.78206865738,4156812.91983216
55,72005656.7532,5.64853748547,4067266.51336336
56,69154232.6249,5.534206615,3827138.1164797
57,70666345.1479,5.54578387822,3919002.77653954
58,67743345.5729,5.66140334367,3835224.03137808
59,69075366.2939,5.83058386074,4027497.15887917
60,69065797.1189,6.06179696275,4186628.39205256
61,65285739.765,6.31891567757,4125350.84522814
62,64004726.9274,6.57888660574,4210798.40686718
63,63939505.8681,6.70958977951,4290078.55079523
64,63426272.4395,6.77697686033,4298383.80659478
65,64914911.0531,6.75775205961,4386788.73868486
66,66892623.7313,6.72386546469,4497770.02549391
67,67464984.7508,6.70366308051,4522625.27501108
68,72406961.3241,6.70456589834,4854572.43695984
69,73159459.7127,6.64625467367,4862364.01038704
70,72836969.182,6.56427845344,4781221.47415276
71,74613681.0371,6.50481695689,4853483.3762611
72,74550401.5877,6.40358045145,4773894.94254743
73,73288410.6401,6.28630511367,4607133.10579607
74,68662028.7526,6.24476203308,4287780.30268484
75,65835571.1356,6.29236897361,4142617.05173544
76,68823248.9728,6.4131614746,4413746.08869165
77,69396897.9632,6.56732733662,4557521.45070352
78,70407462.8208,6.72599445906,4735602.04809174
79,71238188.0577,6.65035475237,4737592.22499753
80,68567100.0815,6.62814273286,4544725.26118478
81,68556932.9353,6.47164427466,4436760.82518984
82,68488688.913,6.30659372883,4319303.35994515
83,59133151.4636,6.13213141416,3626122.55708223
84,59917100.6979,6.23090437568,3733377.24916604
85,62756119.0876,6.20583054311,3894538.40600877
86,69120930.4033,6.19427072201,4281537.55475252
87,65085057.2906,6.22298458554,4050233.08268392
88,65267931.3244,6.25508013608,4082561.40750288
89,65134612.6316,6.29486452873,4100135.62647228
90,64773518.4322,6.33361005967,4102502.07942402
91,64064186.9388,6.38189925018,4088511.86588119
92,64018257.848,6.39830798516,4096085.3038489
93,63618853.7932,6.41962065222,4084089.07681391
94,62268550.272,6.44817167375,4015183.02029388
95,61280876.3414,6.48212817395,3972304.95056935
96,61250277.0673,6.69294164291,4099445.30023508
97,61038778.1374,6.9079741875,4216543.03809699
98,61275926.9734,7.08892146125,4343802.33779723
99,61582614.0713,7.25581725039,4468321.93502648
100,69040021.7047,7.40859512241,5114895.68052521
101,74826477.7804,7.40506020425,5540945.72835837
102,75509072.3638,7.35883629519,5556589.0232686
103,75528461.3188,7.31920929261,5528086.15941096
104,75355761.5524,7.28948657194,5493048.11954532
105,75301791.4408,7.25850221626,5465782.20061395
106,74363857.3618,7.11678085249,5292312.76189756
107,74496789.7826,6.99584883653,5211682.80125822
108,73886747.2426,6.88346161956,5085965.88838568
109,74442174.823,6.76043124621,5032612.04709237
110,72526132.6386,6.63799246753,4814279.22154109
111,77119595.1654,6.64559097337,5125052.85501131
112,77233962.4281,6.67035103449,5151776.41180039
113,77314718.736,6.69421790577,5175615.74542103
114,77523556.8648,6.70794724353,5200239.29579876
115,77379296.5448,6.72787668896,5205983.65431883
116,79723437.335,6.91911669713,5516157.66417196
117,79744235.3745,7.36102343705,5869991.85561326
118,79856097.44,7.79352059173,6223601.39773837
119,79355276.3843,8.24248771212,6540848.90489479
120,70546609.7214,8.73234137916,6160370.79229632
121,77846420.1063,8.96785477756,6981153.90466225
122,78499720.1465,8.89449989376,6982157.52503234
123,79023125.2511,8.85315264869,6996037.90624538
124,79208489.9913,8.8426985129,7004167.96655123
125,75389675.4078,8.7620615811,6605689.78502284
126,80639969.8242,8.62611785367,6956098.83419942
127,79304464.1312,8.53750920893,6770625.92829379
128,77263823.6265,8.44999444224,6528788.80230137
129,77950293.3873,8.27764407289,6452447.8403742
130,76444967.655,8.14210390212,6224228.69441213
131,76096750.9275,8.09337102462,6158792.39024354
132,73440530.1858,8.09543848634,5945332.9452334
133,74644135.4778,8.04287411394,6003533.84991828
134,73562555.2948,7.69459387461,5660339.87372028
135,73539786.7361,7.36676230952,5417501.2917764
136,73234841.3818,7.09025265079,5192535.28237493
137,74015405.5145,6.82072994602,5048390.92859564
138,78086356.8833,6.58313717282,5140531.98688541
139,76509374.5293,6.64617897737,5084949.96568361
140,75533005.0184,6.69642841493,5058013.61070264
141,74069568.8021,6.78875348833,5028400.43584355
142,73862562.0638,6.92258668158,5113199.88410238
143,74161704.7086,7.13365876114,5290442.94535582
144,73424778.1266,7.35091457492,5397392.71691091
145,66218224.3119,7.52016509776,4979719.79305993
146,61256345.3536,7.56688515388,4635197.30237102
147,63526124.5329,7.59530084104,4825000.27092747
148,61605121.405,7.56920690863,4663019.10545716
149,63323540.7336,7.55959039151,4787000.30086115
150,62406638.38,7.2679527631,4535684.99849704
151,62346975.5339,7.04925398701,4394996.6586036
152,61945643.2206,6.95633283324,4309145.11811631
153,61433855.21,6.92608906979,4254963.53085042
154,57024313.1503,6.93002609969,3951799.78448475
155,51815159.2704,7.37017441892,3818867.61366968
156,46676140.2025,7.49055681108,3496302.79908761
157,48602981.6321,7.37077701092,3582417.3967605
158,48465650.6014,7.16756081972,3473804.98352834
159,48171792.7352,6.95257668413,3349180.83003495
160,47866405.2354,6.75797005237,3234797.3309544
161,47629150.6647,6.84252452061,3259036.31319038
162,47354353.7825,6.90476779125,3269708.16772864
163,47103625.9588,6.96719925226,3281803.47558886
164,47091056.6508,7.16022175676,3371824.08379876
165,47964905.3105,7.3109438594,3506687.29946502
166,48824259.1881,7.4222342812,3623850.9030011
167,48534173.1649,7.57881443058,3678314.91958413
168,48933711.2424,7.73003988455,3782595.39602805
169,50402226.5289,7.7512615278,3906808.39408923
170,50165827.1984,7.8129002828,3919406.05505275
171,49010170.8922,7.88747089082,3865662.96266341
172,48710238.4072,7.93972989287,3867461.3597047
173,48418260.7175,7.98530490942,3866345.7501303
174,48588873.1786,8.03315333732,3903218.68731289
175,47438950.7432,8.06230933457,3824674.95399108
176,47153579.4793,7.84032609252,3696994.39547271
177,46775150.0079,7.77553402707,3637017.7050773
178,46480126.9295,7.71777183532,3587230.14518594
179,46183171.7284,7.66022842619,3537736.44885504
180,45374921.2586,7.59582761949,3446600.80128258
181,40629492.5297,7.80718299422,3172018.83141662
182,40336342.974,7.83963468349,3162221.93384119
183,40396145.2242,7.86956853339,3179002.33326617
184,40325619.6064,7.89255737826,3182722.66557398
185,40083616.4543,7.91579112024,3172935.35196054
186,39749872.7652,7.92701935991,3150980.109637
187,39556622.3581,8.03486762152,3178322.24201792
188,39376875.4581,8.1225951678,3198424.18319025
189,39188099.2576,8.18943931159,3209285.6060668
190,39216557.9031,8.2510871748,3235792.3795407
191,37851184.7468,8.31843818994,3148627.40732256
192,38753833.0473,8.27947466541,3208613.78902649
193,39142204.9431,8.27607343716,3239437.62601463
194,39115161.8685,8.33150834513,3258882.97528519
195,39098349.8279,8.38974966501,3280253.67371068
196,39072835.616,8.39088113331,3278555.19195217
197,38559828.7262,8.42601618625,3249057.40985989
198,37659755.0047,8.32165745968,3133915.81164583
199,37711613.4873,8.16797935328,3080276.80343142
200,35534112.2301,8.01068667021,2846526.39179408
201,34329733.5019,7.91844815628,2718382.14953704
202,37906809.3629,7.79847106839,2956151.56111551
203,37883097.5374,7.7428804371,2933242.94819086
204,37804086.4666,7.69403358991,2908659.11109882
205,37703352.1224,7.65109791403,2884720.38775633
206,37571994.8685,7.67772014147,2884672.6175709
207,38528028.2679,7.7266656212,2976931.91470205
208,38382490.1792,7.81774867857,3000646.61878667
209,38195611.4622,7.90717066646,3020192.18541411
210,36325844.5743,7.99375323047,2903798.37415362
211,36990057.688,7.98592399611,2953997.89308092
212,36906948.5814,7.95761717922,2936913.68063938
213,36799613.5389,7.93188202297,2918901.93081444
214,36680688.7999,7.90894745624,2901056.403771
215,37082807.7626,7.88979629549,2925757.99311729
216,36943508.8991,7.88364848323,2912496.37897584
217,36825979.8581,7.91607442892,2915171.97474628
218,36709413.709,7.94758020719,2917510.09811198
219,36572090.7691,7.97734043255,2917480.1839523
220,36989312.2765,8.00408698089,2960656.72824408
221,37185533.1973,8.039742445,2989621.09586289
222,37125801.7743,8.03776003179,2984082.85649627
223,37067854.4143,8.03737323481,2979281.80941329
224,37009771.5266,8.04085729177,2975902.91246403
225,36946820.6481,8.04960247418,2974072.18902031
226,36875604.9707,8.34202473959,3076172.08952927
227,36803478.0278,8.4208886634,3099179.90897992
228,36672576.6181,8.5530433685,3136621.38249248
229,36524996.113,8.81586813502,3219995.49364326
230,32822430.5241,9.63460494304,3162311.51370081
