time	diversity	m_div	M_div
0.0	8.0	8	8
0.10020799740872015	15.0	15	15
0.2004159948174403	16.0	16	16
0.30062399222616043	19.0	19	19
0.4008319896348806	20.0	20	20
0.5010399870436008	19.0	19	19
0.6012479844523209	19.0	19	19
0.7014559818610411	23.0	23	23
0.8016639792697612	23.0	23	23
0.9018719766784813	23.0	23	23
1.0020799740872015	23.0	23	23
1.1022879714959217	23.0	23	23
1.2024959689046417	23.0	23	23
1.302703966313362	29.0	29	29
1.4029119637220822	29.0	29	29
1.5031199611308022	29.0	29	29
1.6033279585395224	26.0	26	26
1.7035359559482426	26.0	26	26
1.8037439533569626	38.0	38	38
1.9039519507656828	43.0	43	43
2.004159948174403	44.0	44	44
2.1043679455831232	38.0	38	38
2.2045759429918435	39.3	38	40
2.3047839404005632	39.0	39	39
2.4049919378092834	41.0	41	41
2.5051999352180037	42.0	42	42
2.605407932626724	51.0	51	51
2.705615930035444	50.0	50	50
2.8058239274441643	48.1	47	50
2.906031924852884	41.0	41	41
3.0062399222616043	42.0	42	42
3.1064479196703245	41.0	41	41
3.2066559170790447	42.0	42	42
3.306863914487765	45.0	45	45
3.407071911896485	45.0	45	45
3.5072799093052054	62.75	62	63
3.607487906713925	64.0	64	64
3.7076959041226454	63.0	63	63
3.8079039015313656	56.1	56	57
3.908111898940086	47.0	47	47
4.008319896348806	44.0	44	44
4.108527893757526	45.0	45	45
4.2087358911662465	46.0	46	46
4.308943888574967	47.0	47	47
4.409151885983687	47.0	47	47
4.509359883392406	48.0	48	48
4.6095678808011264	49.0	49	49
4.709775878209847	49.0	49	49
4.809983875618567	52.0	52	52
4.910191873027287	55.0	55	55
5.010399870436007	61.0	61	61
5.1106078678447275	63.5	63	64
5.210815865253448	67.0	67	67
5.311023862662168	61.0	61	61
5.411231860070888	55.95	55	56
5.511439857479608	55.0	55	55
5.611647854888329	48.5	48	49
5.711855852297049	41.0	41	41
5.812063849705768	55.0	55	55
5.912271847114488	58.0	58	58
6.012479844523209	59.0	59	59
6.112687841931929	60.0	60	60
6.212895839340649	57.0	57	57
6.313103836749369	57.0	57	57
6.4133118341580895	56.0	56	56
6.51351983156681	56.0	56	56
6.61372782897553	58.0	58	58
6.71393582638425	64.0	64	64
6.81414382379297	64.0	64	64
6.914351821201691	64.15	64	65
7.014559818610411	90.05	89	92
7.11476781601913	100.0	100	100
7.21497581342785	101.0	101	101
7.3151838108365705	101.0	101	101
7.415391808245291	118.85	111	123
7.515599805654011	124.0	124	124
7.615807803062731	115.65	115	117
7.716015800471451	110.0	110	110
7.816223797880172	109.0	109	109
7.916431795288892	106.55	106	107
8.016639792697612	96.0	96	96
8.116847790106332	90.0	90	90
8.217055787515053	90.0	90	90
8.317263784923773	90.0	90	90
8.417471782332493	89.0	89	89
8.517679779741213	89.75	89	90
8.617887777149933	89.05	89	90
8.718095774558654	89.8	89	94
8.818303771967374	96.0	96	96
8.918511769376094	102.8	101	105
9.018719766784812	106.0	106	106
9.118927764193533	106.0	106	106
9.219135761602253	101.0	101	101
9.319343759010973	101.0	101	101
9.419551756419693	89.15	89	90
9.519759753828414	82.0	82	82
9.619967751237134	84.0	84	84
9.720175748645854	87.15	87	88
9.820383746054574	98.95	98	99
9.920591743463294	109.0	109	109
10.020799740872015	109.0	109	109
10.121007738280735	109.0	109	109
10.221215735689455	109.0	109	109
10.321423733098175	102.0	102	102
10.421631730506896	84.0	84	84
10.521839727915616	84.0	84	84
10.622047725324336	79.0	79	79
10.722255722733056	79.0	79	79
10.822463720141776	79.35	79	81
10.922671717550497	83.0	83	83
11.022879714959217	87.0	87	87
11.123087712367937	96.0	96	96
11.223295709776657	96.0	96	96
11.323503707185377	96.0	96	96
11.423711704594098	96.15	96	97
11.523919702002818	87.0	87	87
11.624127699411536	66.0	66	66
11.724335696820257	67.0	67	67
11.824543694228977	67.0	67	67
11.924751691637697	80.0	80	80
12.024959689046417	81.8	80	82
12.125167686455137	73.0	73	73
12.225375683863858	73.0	73	73
12.325583681272578	75.0	75	75
12.425791678681298	72.65	72	73
12.525999676090018	64.0	64	64
12.626207673498739	64.0	64	64
12.726415670907459	67.0	67	67
12.826623668316179	68.85	68	71
12.9268316657249	60.0	60	60
13.02703966313362	60.0	60	60
13.12724766054234	55.0	55	55
13.22745565795106	55.0	55	55
13.32766365535978	55.0	55	55
13.4278716527685	55.0	55	55
13.52807965017722	55.0	55	55
13.62828764758594	57.0	57	57
13.728495644994661	58.0	58	58
13.828703642403381	58.0	58	58
13.928911639812101	58.0	58	58
14.029119637220822	65.0	65	65
14.12932763462954	67.0	67	67
14.22953563203826	66.0	66	66
14.32974362944698	65.15	65	66
14.4299516268557	65.0	65	65
14.53015962426442	85.0	85	85
14.630367621673141	89.0	89	89
14.730575619081861	87.0	87	87
14.830783616490582	89.0	89	89
14.930991613899302	89.1	89	90
15.031199611308022	90.85	90	91
15.131407608716742	91.0	91	91
15.231615606125462	84.0	84	84
15.331823603534183	84.45	84	85
15.432031600942903	73.0	73	73
15.532239598351623	72.75	72	73
15.632447595760343	72.0	72	72
15.732655593169063	78.0	78	78
15.832863590577784	87.35	86	88
15.933071587986504	87.0	87	87
16.033279585395224	87.0	87	87
16.133487582803944	87.0	87	87
16.233695580212665	83.85	80	90
16.333903577621385	64.0	64	64
16.434111575030105	64.0	64	64
16.534319572438825	64.0	64	64
16.634527569847545	64.0	64	64
16.734735567256266	46.0	46	46
16.834943564664986	46.0	46	46
16.935151562073706	47.0	47	47
17.035359559482426	48.0	48	48
17.135567556891147	55.0	55	55
17.235775554299867	65.0	65	65
17.335983551708587	65.0	65	65
17.436191549117307	58.0	58	58
17.536399546526027	44.0	44	44
17.636607543934748	33.0	33	33
17.736815541343468	33.0	33	33
17.837023538752188	32.0	32	32
17.93723153616091	32.0	32	32
18.037439533569625	32.0	32	32
18.137647530978345	32.0	32	32
18.237855528387065	32.0	32	32
18.338063525795786	37.45	36	39
18.438271523204506	46.0	46	46
18.538479520613226	46.0	46	46
18.638687518021946	46.0	46	46
18.738895515430666	46.0	46	46
18.839103512839387	39.0	39	39
18.939311510248107	35.0	35	35
19.039519507656827	36.0	36	36
19.139727505065547	36.0	36	36
19.239935502474268	36.0	36	36
19.340143499882988	41.0	41	41
19.440351497291708	40.0	40	40
19.540559494700428	37.0	37	37
19.64076749210915	37.0	37	37
19.74097548951787	37.0	37	37
19.84118348692659	37.0	37	37
19.94139148433531	36.85	36	37
20.04159948174403	32.0	32	32
20.14180747915275	32.0	32	32
20.24201547656147	32.0	32	32
20.34222347397019	32.0	32	32
20.44243147137891	35.0	35	35
20.54263946878763	35.0	35	35
20.64284746619635	35.0	35	35
20.74305546360507	35.0	35	35
20.84326346101379	32.0	32	32
20.94347145842251	32.0	32	32
21.04367945583123	31.85	30	32
21.14388745323995	29.0	29	29
21.244095450648672	28.35	27	29
21.344303448057392	28.0	28	28
21.444511445466112	30.0	30	30
21.544719442874833	30.0	30	30
21.644927440283553	30.0	30	30
21.745135437692273	32.0	32	32
21.845343435100993	32.0	32	32
21.945551432509713	36.0	36	36
22.045759429918434	36.0	36	36
22.145967427327154	36.0	36	36
22.246175424735874	36.15	35	37
22.346383422144594	35.0	35	35
22.446591419553314	35.0	35	35
22.546799416962035	35.15	35	36
22.647007414370755	35.0	35	35
22.747215411779475	37.75	37	38
22.847423409188195	34.0	34	34
22.947631406596916	35.0	35	35
23.047839404005636	29.0	29	29
23.148047401414352	29.0	29	29
23.248255398823073	29.0	29	29
23.348463396231793	28.95	28	29
23.448671393640513	28.0	28	28
23.548879391049233	29.0	29	29
23.649087388457954	26.0	26	26
23.749295385866674	25.95	25	26
23.849503383275394	16.95	16	20
23.949711380684114	15.0	15	15
24.049919378092834	14.1	14	15
24.150127375501555	14.0	14	14
24.250335372910275	14.0	14	14
24.350543370318995	14.0	14	14
24.450751367727715	13.0	13	13
24.550959365136436	13.0	13	13
24.651167362545156	12.95	12	13
