
                 PyRate - v3.0 - 20211129

          Bayesian estimation of origination,
           extinction and preservation rates
              from fossil occurrence data

                 pyrate.help@gmail.com



Module FastPyRateC was loaded.


 Artiodactyla_PyRate ['data/Artiodactyla_PyRate.py'] 


The analysis includes 1603 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

1603 taxa included in the analysis
583 taxa have a single occurrence, 54 taxa are extant
8799 fossil occurrences (40 replicates), ranging from 56.0 (+/- 0.0) to 0.03 (+/- 0.0) Ma

Taxon	FA	LA
Achaenodon_fremdi	45.38	45.38	
Achaenodon_insolens	47.96	45.38	
Achaenodon_robustus	47.96	42.78	
Achaenodon_uintensis	45.38	45.38	
Aclistomycter_middletoni	39.83	39.83	
Acotherulum_campichii	40.12	40.12	
Acotherulum_quercyi	35.1	33.77	
Acteocemas_beatrix	19.5	19.5	
Aepinacodon_americanus	35.24	34.7	
Aepinacodon_deflectus	34.7	34.7	
Aepycamelus_alexandrae	15.97	14.78	
Aepycamelus_bradyi	10.09	10.09	
Aepycamelus_elrodi	15.97	15.97	
Aepycamelus_giraffinus	15.97	14.78	
Aepycamelus_major	12.11	5.91	
Aepycamelus_priscus	17.34	17.34	
Aepycamelus_procerus	15.97	15.97	
Aepycamelus_robustus	15.97	12.11	
Aepycamelus_stocki	15.97	15.97	
Aepyceros_afarensis	3.6	3.6	
Aepyceros_datoadeni	3.446	3.2	
Aepyceros_dietrichi	3.85	3.85	
Aepyceros_melampus	5.333	1.042	extant
Aepyceros_premelampus	7.44	3.97	
Aepyceros_shungurae	5.333	1.39	
Afrikanokeryx_leakeyi	11.63	11.63	
Afromeryx_grex	19.491	19.491	
Afromeryx_palustris	19.491	19.491	
Afromeryx_zelteni	20.44	19.2	
Afrotragus_libycus	7.902	7.1	
Agriochoerus_antiquus	35.24	33.9	
Agriochoerus_bullatus	22.2	22.2	
Agriochoerus_crassus	42.78	39.83	
Agriochoerus_gaudryi	29.75	29.75	
Agriochoerus_guyotianus	32.1	29.75	
Agriochoerus_major	33.9	33.9	
Agriochoerus_matthewi	42.78	42.78	
Agriochoerus_maximus	37.39	35.24	
Agriochoerus_pearcei	42.78	39.83	
Agriochoerus_pumilus	45.38	45.38	
Agriochoerus_trifons	22.2	22.2	
Aguascalientia_wilsoni	18.5	18.5	
Albanohyus_castellensis	11.918	11.056	
Albanohyus_minus	19.5	17.2	
Albanohyus_pygmaeus	17.2	11.2	
Alces_alces	0.36	0.3	extant
Alces_carnutorum	3.6	0.563	
Alces_latifrons	2.106	1.296	
Alephis_boodon	5.3	5.0	
Alephis_lyrix	5.3	5.0	
Alephis_tigneresi	5.333	3.33	
Aletomeryx_gracilis	18.5	17.34	
Aletomeryx_marslandensis	18.5	18.5	
Aletomeryx_occidentalis	18.5	18.5	
Alforjas_magnifontis	12.11	12.11	
Alforjas_taylori	9.07	7.59	
Ammotragus_europaeus	1.31	1.31	
Ampelomeryx_ginsburgi	17.2	16.225	
Amphimeryx_murinus	36.65	35.1	
Amphimoschus_artenensis	19.722	14.2	
Amphimoschus_ponteleviensis	17.2	14.933	
Amphiprox_anocerus	16.4	8.9	
Amphitragulus_aurelianensis	19.5	17.2	
Amphitragulus_boulangeri	19.5	19.5	
Amphitragulus_elegans	23.0	18.35	
Amphitragulus_feningrei	23.86	23.26	
Amphitragulus_gracilis	23.0	18.35	
Amphitragulus_lemanensis	23.86	21.7	
Amphitragulus_primaevus	23.26	23.26	
Amphitragulus_quercyi	24.56	23.26	
Andegameryx_andegaviensis	21.7	19.5	
Andegameryx_laugnacensis	21.7	21.7	
Andegameryx_serum	19.5	17.2	
Anoplotherium_pompeckii	35.1	35.1	
Anthracokeryx_birmanicus	44.95	44.95	
Anthracotherium_bugtiense	27.82	27.82	
Anthracotherium_crassum	44.95	44.95	
Anthracotherium_cuvieri	27.24	27.24	
Anthracotherium_kwablianicum	27.82	27.82	
Anthracotherium_magnum	30.83	23.86	
Anthracotherium_pangan	44.95	44.95	
Anthracotherium_punjabiense	16.4	13.82	
Anthracotherium_tenuis	44.95	44.95	
Antiacodon_huerfanensis	51.91	51.91	
Antiacodon_pygmaeus	51.91	49.27	
Antiacodon_vanvaleni	53.07	51.91	
Antiacodon_venustus	48.64	42.78	
Antidorcas_bondi	1.8	1.8	
Antidorcas_recki	3.5	0.95	
Antilope_subtorta	2.85	2.85	
Antilospira_gracilis	2.5	2.5	
Antilospira_licenti	3.596	2.5	
Antilospira_yuxianensis	3.55	2.5	
Antilospira_zdanskyi	3.55	3.55	
Apriculus_praeteritus	42.78	42.78	
Aragoral_mudejar	9.9	9.9	
Archaeopotamus_harvardi	7.44	4.51	
Archaeopotamus_lothagamensis	7.902	7.1	
Archaeopotamus_qeshta	7.902	7.902	
Archaeotherium_calkinsi	29.75	29.75	
Archaeotherium_latidens	37.39	32.1	
Archaeotherium_lemleyi	32.1	32.1	
Archaeotherium_mortoni	37.39	33.9	
Archaeotherium_potens	34.7	33.9	
Archaeotherium_ramosum	34.7	33.9	
Archaeotherium_trippensis	28	28	
Archaeotherium_wanlessi	33.9	32.1	
Archaeotherium_zygomaticus	32.1	32.1	
Arretotherium_acridens	22.2	22.2	
Arretotherium_fricki	18.5	18.5	
Arretotherium_leptodus	22.2	22.2	
Arvernoceros_ardei	3.55	3.55	
Asiagenes_ceratinus	18.95	18.95	
Asiohomacodon_myanmarensis	44.95	44.95	
Aumelasia_gabineaudi	47.4	47.4	
Aureliachoerus_aurelianensis	21.7	15.467	
Aureliachoerus_minus	19.5	16.4	
Australocamelus_orarius	18.5	18.5	
Austroportax_latifrons	11.657	9.9	
Auxontodon_pattersoni	42.78	42.78	
Auxontodon_processus	42.78	42.78	
Awashia_suwai	3.6	3.6	
Axis_eurygonos	0.771	0.771	
Axis_flerovi	3	3	
Axis_porcinus	1.296	1.296	extant
Axis_rugosus	1.81	1.296	
Axis_shansius	5.235	2.5	
Axis_speciosus	8.9	8.9	
Axis_ubensis	3.55	3.55	
Axis_yunnanensis	1.296	1.296	
Babameryx_engesseri	24.56	24.56	
Bachitherium_curtum	41.03	25.41	
Bachitherium_insigne	29.97	25.41	
Bachitherium_lavocati	24.56	24.56	
Bachitherium_sardus	21.7	21.7	
Barbouromeryx_trigonocorneus	19.09	14.78	
Bathygenys_alpha	37.39	35.24	
Bathygenys_hedlundae	35.92	34.7	
Bathygenys_reevesi	37.39	37.39	
Beatragus_antiquus	5.333	1.53	
Beatragus_hunteri	1.39	1.39	extant
Beatragus_whitei	2.5	2.5	
Bedenomeryx_milloquensis	23.86	23.86	
Bedenomeryx_paulhiacensis	23.0	21.7	
Bedenomeryx_truyolsi	21.7	21.7	
Benicerus_theobaldi	14.2	14.2	
Bibos_gaurus	1.81	1.296	
Birgerbohlinia_schaubi	8.9	7.6	
Bison_menneri	1.072	1.072	
Bison_palaeosinensis	2.5	1.81	
Bison_priscus	0.781	0.044	
Bison_schoetensacki	1.31	0.3	
Bison_voigtstedtensis	0.781	0.781	
Blancocamelus_meadei	2.63	2.63	
Blastomeryx_gemmifer	18.5	12.11	
Blickohyus_auritus	32.1	31.4	
Blickomylus_galushai	18.5	17.34	
Blickomylus_moroni	17.34	17.34	
Bohlinia_attica	11.2	7.1	
Bohlinia_nikitae	9.9	9.9	
Boocercus_flabellatus	1.81	1.81	
Boopsis_sinensis	1.81	1.81	
Boreameryx_braskerudi	4.91	4.91	
Bos_banteng	1.296	1.296	
Bos_bubaloides	1.8	1.8	
Bos_frontalis	1.296	1.296	extant
Bos_gaurus	1.296	1.296	
Bos_geron	1.296	1.296	
Bos_javanicus	1.296	1.296	extant
Bos_palaethiopicus	2.5	2.5	
Bos_praeafricanus	1.8	1.8	
Bos_primigenius	0.774	0.03	
Bos_sauveli	1.296	1.296	extant
Bothriodon_advena	37.39	37.39	
Bothriodon_aymardi	32.63	32.63	
Bothriodon_rostratus	33.9	33.9	
Bothriodon_sandaensis	37.7	37.7	
Bothriodon_velaunus	27.82	27.82	
Bothriogenys_fraasi	31.873	31.873	
Bothriogenys_gorringei	37.7	37.7	
Bothriogenys_parvus	37.7	37.7	
Bouria_anngettyae	1.042	1.042	
Bouromeryx_americanus	17.34	14.78	
Bouromeryx_submilleri	18.5	14.78	
Brabovus_nanincisus	3.85	3.8	
Brachycrus_buwaldi	22.2	14.78	
Brachycrus_laticeps	17.34	15.97	
Brachycrus_rusticus	22.2	17.34	
Brachycrus_siouense	17.34	14.78	
Brachycrus_sweetwaterensis	17.34	17.34	
Brachycrus_vaughani	17.34	17.34	
Brachyodus_aequatorialis	23.03	15.97	
Brachyodus_africanus	20.44	20.44	
Brachyodus_depereti	20.44	19.491	
Brachyodus_intermedius	20.44	19.5	
Brachyodus_mogharensis	19.491	19.491	
Brachyodus_onoideus	19.5	17.131	
Bramatherium_megacephalum	11.63	11.63	
Bramatherium_perimense	11.63	7.246	
Bretzia_pseudalces	5.91	2.63	
Bubalus_arnee	1.296	1.296	
Bubalus_brevicornis	1.296	1.296	
Bubalus_bubalis	1.81	0.106	extant
Bubalus_murrensis	0.424	0.337	
Bubalus_teilhardi	1.81	1.81	
Budorcas_churcheri	3.446	3.2	
Bugtimeryx_pilgrimi	26.653	19.5	
Bugtitherium_grandincisivum	27.82	27.82	
Bunolistriodon_adelli	19.5	16.225	
Bunolistriodon_affinis	20.44	17.2	
Bunolistriodon_akatikubas	15.97	13.8	
Bunolistriodon_anchidens	17.2	17.2	
Bunolistriodon_guptai	17.2	17.2	
Bunolistriodon_intermedius	15.2	15.2	
Bunolistriodon_jeanneli	18.606	16.4	
Bunolistriodon_latidens	17.2	14.2	
Bunolistriodon_lockharti	17.2	12.85	
Bunolistriodon_meidamon	14.2	14.07	
Bunomeryx_montanus	45.38	42.78	
Bunophorus_etsagicus	54.05	53.42	
Bunophorus_grangeri	55.54	53.42	
Bunophorus_macropternus	54.05	53.07	
Bunophorus_pattersoni	54.05	51.91	
Bunophorus_robustus	55.96	55.79	
Bunophorus_sinclairi	53.07	52.11	
Caenomeryx_communis	27.24	27.24	
Caenomeryx_filholi	30.83	30.83	
Caenomeryx_procommunis	30.83	27.24	
Cainochoerus_africanus	6.54	5.2	
Cainotherium_bavaricum	19.5	16.4	
Cainotherium_commune	23.86	21.7	
Cainotherium_geoffroyi	21.7	21.7	
Cainotherium_gracile	30.83	21.7	
Cainotherium_huerzeleri	16.4	14.2	
Cainotherium_laticurvatum	23.0	19.5	
Cainotherium_lintillae	21.7	19.5	
Cainotherium_miocaenicum	23.0	16.225	
Camelops_hesternus	1.8	1.8	
Camelops_traviswhitei	2.63	2.63	
