"ddRec_hr.mid_ma","ddRec_hr.divCSIB","ddRec_hr.divRT"
66,NA,4
65,2.24355300859599,3
64,NA,6
63,3.73925501432665,5
62,7.47851002865329,10
61,NA,5
60,NA,5
59,5.23495702005731,8
58,7.97707736389685,10
57,5.98280802292264,11
56,13.4613180515759,21
55,25.9255014326648,36
54,23.5735642207549,34
53,26.9226361031519,39
52,25.5056552556176,34
51,26.9226361031519,42
50,18.6962750716332,32
49,30.6618911174785,45
48,22.4355300859599,41
47,NA,55
46,NA,52
45,NA,68
44,NA,90
43,NA,74
42,NA,71
41,NA,84
40,33.3327875562833,64
39,54.5931232091691,87
38,40.5709169054441,63
37,46.6659025787966,79
36,47.1146131805158,84
35,39.6628121162505,88
34,41.1318051575931,85
33,45.3696275071633,84
32,64.4148997134671,85
31,100.348007293566,108
30,62.8194842406877,101
29,70.6719197707736,103
28,NA,93
27,NA,88
26,NA,96
25,94.2292263610315,105
24,NA,101
23,37.0186246418338,101
22,61.323782234957,120
21,214.63323782235,163
20,108.635198310964,154
19,94.4428980761359,173
18,174.186962750716,238
17,163.498925501433,243
16,156.510782687377,225
15,189.854441260745,273
14,190.637376631646,276
13,170.310601719198,247
12,162.92468276709,262
11,157.875282762781,262
10,164.906565341971,266
9,176.113644618427,263
8,192.026512928505,288
7,196.384495634321,290
6,207.191031240437,286
5,177.326978179414,245
4,197.913426115432,272
3,188.209169054441,253
2,179.484240687679,241
1,161.90104617845,217
0,NA,114
