age_tuned,ISOBENbinned_d13Ccount,ISOBENbinned_d13C,ISOBENbinned_d13Cinterp,ISOBENbinned_d18Ocount,ISOBENbinned_d18O,ISOBENbinned_d18Ointerp,ISOBENd13cLOESSsmooth,ISOBENd18oLOESSsmooth,ISOBENLOESSsmooth_pts,ISOBENd13cLOESSsmoothLongTerm,ISOBENd18oLOESSsmoothLongTerm,ISOBENLOESSsmooth_pts
0,1,-0.800000011920929,-0.800000011920929,1,3.51999998092651,3.51999998092651,-0.49586752,3.4982405,10pts smooth,-0.60621887,4.6201019,500pts smooth
0.002,1,0.430000007152557,0.430000007152557,1,3.56999993324279,3.56999993324279,-0.27659327,3.5231519,10pts smooth,-0.60559893,4.6183863,500pts smooth
0.004,2,-0.645000014454126,-0.645000014454126,2,3.53499996662139,3.53499996662139,-0.20061685,3.6504276,10pts smooth,-0.60497904,4.6166787,500pts smooth
0.006,3,0.0466666718324025,0.0466666718324025,3,3.80666669209798,3.80666669209798,-0.26373971,3.8774259,10pts smooth,-0.60435915,4.6149797,500pts smooth
0.008,3,-0.313333327571551,-0.313333327571551,3,3.95999995867411,3.95999995867411,-0.41025099,4.1802239,10pts smooth,-0.60373908,4.6132889,500pts smooth
0.01,2,-0.805000007152557,-0.805000007152557,2,4.92499995231628,4.92499995231628,-0.59536296,4.6000643,10pts smooth,-0.60311878,4.6116071,500pts smooth
0.012,2,-0.695000022649765,-0.695000022649765,2,4.82000017166137,4.82000017166137,-0.75949329,4.9943051,10pts smooth,-0.60249817,4.6099334,500pts smooth
0.014,3,-0.939999997615814,-0.939999997615814,3,5.35333331425984,5.35333331425984,-0.80040967,5.2055159,10pts smooth,-0.60187709,4.6082687,500pts smooth
0.016,3,-0.703333338101705,-0.703333338101705,3,5.32999992370605,5.32999992370605,-0.79177552,5.311944,10pts smooth,-0.60125542,4.6066127,500pts smooth
0.018,3,-0.776666680971781,-0.776666680971781,3,5.27666680018107,5.27666680018107,-0.76653183,5.2804322,10pts smooth,-0.60063314,4.6049647,500pts smooth
0.02,4,-0.664999991655349,-0.664999991655349,4,5.16499996185302,5.16499996185302,-0.72869372,5.1900349,10pts smooth,-0.6000101,4.6033258,500pts smooth
0.022,2,-0.745000004768371,-0.745000004768371,2,5.04999995231628,5.04999995231628,-0.70309317,5.0940814,10pts smooth,-0.59938616,4.6016955,500pts smooth
0.024,3,-0.733333309491475,-0.733333309491475,3,5.02333339055379,5.02333339055379,-0.67172718,5.0009532,10pts smooth,-0.59876126,4.6000738,500pts smooth
0.026,4,-0.519999992102384,-0.519999992102384,4,4.92250001430511,4.92250001430511,-0.61387879,4.9643979,10pts smooth,-0.59813535,4.5984612,500pts smooth
0.028,2,-0.614999994635582,-0.614999994635582,2,4.92999982833862,4.92999982833862,-0.54851764,4.9375811,10pts smooth,-0.59750825,4.5968571,500pts smooth
0.03,2,-0.475000008940696,-0.475000008940696,2,4.97500014305114,4.97500014305114,-0.48245203,4.9030948,10pts smooth,-0.59687984,4.5952621,500pts smooth
0.032,4,-0.425000000745058,-0.425000000745058,4,4.83249998092651,4.83249998092651,-0.43710846,4.8674283,10pts smooth,-0.59625012,4.5936756,500pts smooth
0.034,4,-0.374999998137354,-0.374999998137354,4,4.83749997615814,4.83749997615814,-0.45060262,4.8166389,10pts smooth,-0.59561884,4.5920982,500pts smooth
0.036,2,-0.455000013113021,-0.455000013113021,2,4.7350001335144,4.7350001335144,-0.4703922,4.7721748,10pts smooth,-0.59498608,4.5905294,500pts smooth
0.038,2,-0.670000001788139,-0.670000001788139,2,4.75499987602233,4.75499987602233,-0.47884706,4.7616458,10pts smooth,-0.59435159,4.5889697,500pts smooth
0.04,3,-0.363333324591318,-0.363333324591318,3,4.76000006993611,4.76000006993611,-0.46116835,4.7521286,10pts smooth,-0.59371531,4.587419,500pts smooth
0.042,4,-0.352499997243285,-0.352499997243285,4,4.80999994277954,4.80999994277954,-0.4318319,4.7466869,10pts smooth,-0.59307712,4.5858769,500pts smooth
0.044,4,-0.484999999403953,-0.484999999403953,4,4.67499995231628,4.67499995231628,-0.39346451,4.7357545,10pts smooth,-0.59243697,4.5843444,500pts smooth
0.046,4,-0.325000007636845,-0.325000007636845,4,4.72249996662139,4.72249996662139,-0.3588407,4.7251601,10pts smooth,-0.59179473,4.5828204,500pts smooth
0.048,2,-0.425000000745058,-0.425000000745058,2,4.73000001907348,4.73000001907348,-0.32112354,4.7187753,10pts smooth,-0.59115028,4.581306,500pts smooth
0.05,3,-0.143333333854874,-0.143333333854874,3,4.7300001780192,4.7300001780192,-0.30341068,4.7137842,10pts smooth,-0.59050357,4.5798001,500pts smooth
0.052,4,-0.442500010132789,-0.442500010132789,4,4.73000001907348,4.73000001907348,-0.34102428,4.6943598,10pts smooth,-0.58985442,4.5783038,500pts smooth
0.054,4,-0.33500000461936,-0.33500000461936,4,4.62750005722045,4.62750005722045,-0.42431071,4.6855321,10pts smooth,-0.58920276,4.5768166,500pts smooth
0.056,3,-0.626666645208994,-0.626666645208994,3,4.71999994913737,4.71999994913737,-0.59326321,4.720026,10pts smooth,-0.58854854,4.5753384,500pts smooth
0.058,3,-0.686666667461395,-0.686666667461395,3,4.7400000890096,4.7400000890096,-0.77117276,4.7717066,10pts smooth,-0.58789158,4.5738692,500pts smooth
0.06,3,-1.07999998331069,-1.07999998331069,3,4.87666670481364,4.87666670481364,-0.92537975,4.8549023,10pts smooth,-0.58723181,4.5724096,500pts smooth
0.062,5,-0.939999985694885,-0.939999985694885,5,4.94199991226196,4.94199991226196,-1.0253892,4.9249172,10pts smooth,-0.58656913,4.5709591,500pts smooth
0.064,2,-1.03000003099441,-1.03000003099441,2,4.91000008583068,4.91000008583068,-0.95464647,4.9279256,10pts smooth,-0.58590347,4.5695181,500pts smooth
0.066,2,-0.995000004768371,-0.995000004768371,2,4.97000002861022,4.97000002861022,-0.82811159,4.8894386,10pts smooth,-0.58523464,4.5680861,500pts smooth
0.068,2,-0.489999994635582,-0.489999994635582,2,4.77500009536743,4.77500009536743,-0.72671974,4.790586,10pts smooth,-0.5845626,4.5666637,500pts smooth
0.07,5,-0.667999994754791,-0.667999994754791,5,4.62800006866455,4.62800006866455,-0.63755828,4.6727462,10pts smooth,-0.58388722,4.5652504,500pts smooth
0.072,3,-0.18000000466903,-0.18000000466903,3,4.52999989191691,4.52999989191691,-0.62094641,4.5608926,10pts smooth,-0.58320844,4.5638466,500pts smooth
0.074,2,-1.45000004768371,-1.45000004768371,2,4.52999997138977,4.52999997138977,-0.54962862,4.4672437,10pts smooth,-0.58252615,4.5624523,500pts smooth
0.076,3,0.0866666659712791,0.0866666659712791,3,4.3700000445048,4.3700000445048,-0.44970238,4.3845091,10pts smooth,-0.58184016,4.5610676,500pts smooth
0.078,2,-0.429999992251396,-0.429999992251396,2,4.29999995231628,4.29999995231628,-0.19158369,4.2992759,10pts smooth,-0.58115047,4.5596924,500pts smooth
0.08,2,0.179999999701976,0.179999999701976,2,4.21000003814697,4.21000003814697,0.029913316,4.2307673,10pts smooth,-0.58045697,4.5583262,500pts smooth
0.082,2,-0.0250000022351741,-0.0250000022351741,2,4.24000000953674,4.24000000953674,-0.043448526,4.1950331,10pts smooth,-0.57975948,4.5569701,500pts smooth
